iter	Passed	Remaining
0	3	3600
1	7	3817
2	11	3917
3	14	3679
4	18	3655
5	22	3799
6	26	3744
7	30	3817
8	33	3678
9	34	3407
10	36	3262
11	39	3234
12	42	3263
13	45	3180
14	48	3198
15	51	3152
16	55	3198
17	59	3250
18	62	3203
19	66	3241
20	68	3215
21	71	3188
22	77	3281
23	80	3288
24	84	3301
25	87	3291
26	92	3336
27	95	3302
28	96	3229
29	100	3233
30	109	3425
31	113	3421
32	121	3550
33	127	3631
34	132	3659
35	162	4348
36	170	4437
37	182	4622
38	190	4688
39	198	4774
40	315	7369
41	324	7392
42	332	7410
43	338	7359
44	345	7333
45	351	7300
46	355	7203
47	361	7163
48	366	7117
49	369	7023
50	372	6939
51	377	6875
52	379	6781
53	381	6688
54	386	6642
55	388	6554
56	393	6511
57	396	6441
58	398	6358
59	401	6283
60	404	6224
61	408	6184
62	413	6157
63	417	6106
64	421	6062
65	424	6012
66	427	5956
67	431	5917
68	434	5856
69	434	5778
70	438	5736
71	441	5692
72	444	5646
73	448	5607
74	451	5566
75	455	5533
76	458	5495
77	464	5489
78	466	5434
79	469	5397
80	471	5349
81	475	5320
82	482	5330
83	486	5305
84	489	5271
85	493	5239
86	495	5202
87	498	5169
88	502	5146
89	505	5112
90	508	5076
91	511	5052
92	516	5035
93	520	5015
94	528	5031
95	530	5000
96	532	4956
97	537	4947
98	541	4928
99	545	4906
100	549	4891
101	552	4861
102	552	4812
103	557	4803
104	558	4762
105	560	4723
106	562	4695
107	566	4677
108	568	4650
109	573	4638
110	577	4622
111	580	4604
112	584	4590
113	588	4570
114	593	4569
115	605	4611
116	611	4615
117	612	4581
118	619	4589
119	626	4597
120	633	4602
121	637	4588
122	639	4562
123	642	4538
124	644	4513
125	646	4487
126	652	4483
127	657	4478
128	661	4468
129	663	4437
130	668	4431
131	670	4408
132	674	4393
133	679	4392
134	682	4374
135	686	4358
136	687	4331
137	691	4319
138	693	4296
139	698	4290
140	703	4286
141	707	4276
142	711	4261
143	713	4240
144	715	4221
145	723	4229
146	725	4208
147	728	4193
148	731	4179
149	735	4169
150	740	4162
151	745	4161
152	749	4148
153	754	4144
154	757	4128
155	760	4114
156	764	4103
157	765	4082
158	768	4066
159	771	4052
160	775	4040
161	780	4035
162	784	4028
163	786	4006
164	790	4000
165	797	4005
166	802	4005
167	808	4003
168	812	3994
169	815	3982
170	819	3971
171	822	3961
172	825	3945
173	829	3936
174	833	3930
175	837	3919
176	839	3905
177	843	3894
178	846	3881
179	847	3860
180	850	3846
181	852	3832
182	856	3824
183	859	3811
184	863	3801
185	866	3793
186	869	3780
187	872	3767
188	875	3756
189	878	3746
190	881	3734
191	885	3726
192	886	3706
193	889	3694
194	896	3699
195	899	3691
196	902	3679
197	903	3660
198	909	3659
199	916	3664
200	921	3664
201	925	3655
202	928	3646
203	931	3634
204	934	3624
205	938	3618
206	941	3607
207	945	3601
208	947	3587
209	952	3581
210	955	3574
211	959	3567
212	963	3559
213	967	3553
214	969	3541
215	974	3535
216	978	3530
217	981	3521
218	986	3519
219	991	3513
220	994	3505
221	997	3494
222	1000	3484
223	1003	3476
224	1007	3470
225	1012	3465
226	1014	3455
227	1019	3450
228	1022	3442
229	1025	3433
230	1028	3424
231	1032	3419
232	1035	3407
233	1040	3407
234	1045	3404
235	1047	3392
236	1051	3385
237	1056	3383
238	1061	3378
239	1064	3370
240	1067	3362
241	1071	3357
242	1076	3352
243	1080	3346
244	1085	3344
245	1089	3338
246	1093	3334
247	1097	3328
248	1101	3320
249	1104	3312
250	1109	3311
251	1113	3305
252	1118	3301
253	1120	3290
254	1123	3283
255	1126	3274
256	1129	3265
257	1134	3262
258	1138	3256
259	1141	3249
260	1173	3321
261	1179	3322
262	1185	3323
263	1192	3324
264	1199	3327
265	1206	3328
266	1211	3325
267	1214	3317
268	1219	3313
269	1224	3310
270	1228	3304
271	1232	3299
272	1235	3290
273	1239	3283
274	1243	3278
275	1251	3282
276	1256	3280
277	1262	3277
278	1268	3276
279	1275	3280
280	1281	3279
281	1287	3279
282	1294	3279
283	1299	3275
284	1305	3275
285	1308	3267
286	1315	3267
287	1318	3259
288	1321	3252
289	1325	3245
290	1330	3240
291	1333	3233
292	1336	3225
293	1339	3217
294	1343	3211
295	1347	3205
296	1351	3198
297	1355	3192
298	1358	3185
299	1363	3180
300	1370	3182
301	1373	3175
302	1377	3167
303	1382	3164
304	1386	3159
305	1391	3155
306	1394	3148
307	1400	3147
308	1409	3151
309	1417	3154
310	1421	3148
311	1425	3143
312	1429	3136
313	1432	3129
314	1436	3123
315	1441	3119
316	1446	3116
317	1449	3109
318	1453	3102
319	1456	3094
320	1460	3090
321	1465	3085
322	1470	3083
323	1475	3078
324	1479	3072
325	1482	3064
326	1486	3058
327	1491	3056
328	1495	3049
329	1500	3046
330	1503	3038
331	1507	3033
332	1511	3027
333	1516	3024
334	1520	3019
335	1524	3013
336	1527	3004
337	1530	2998
338	1535	2994
339	1539	2987
340	1542	2981
341	1545	2974
342	1549	2968
343	1553	2962
344	1559	2961
345	1562	2953
346	1565	2946
347	1569	2940
348	1575	2937
349	1578	2931
350	1581	2923
351	1585	2918
352	1589	2913
353	1594	2910
354	1605	2917
355	1614	2920
356	1620	2918
357	1627	2919
358	1634	2918
359	1637	2910
360	1642	2907
361	1646	2902
362	1649	2894
363	1654	2890
364	1661	2890
365	1664	2883
366	1669	2879
