iter	Logloss
0	0.6481149546
1	0.6103160641
2	0.5787242088
3	0.5535695952
4	0.5348016023
5	0.5182828402
6	0.5037118496
7	0.4924287931
8	0.4824495207
9	0.4731416726
10	0.464748138
11	0.458618348
12	0.4529669014
13	0.4465199499
14	0.4416972004
15	0.4379864838
16	0.433419873
17	0.4291209595
18	0.4269387677
19	0.4246899248
20	0.423244702
21	0.4215144452
22	0.4181422791
23	0.4164815742
24	0.4146625472
25	0.4106821542
26	0.4081535888
27	0.4051133951
28	0.4035165743
29	0.40244641
30	0.4009389256
31	0.4001174796
32	0.3994005874
33	0.3970181995
34	0.395162508
35	0.3943037792
36	0.3936906936
37	0.3924390488
38	0.3916393946
39	0.390858521
40	0.3893220377
41	0.3893155878
42	0.3885341219
43	0.3877595499
44	0.3872946515
45	0.3859520811
46	0.3854809525
47	0.3844336464
48	0.3838148757
49	0.3833793407
